time;perfect;measurement;prediction
0.000000;0.000000;12.873854;0.010000
0.100000;-0.009000;-15.787520;5.395585
0.200000;-0.016000;-8.272250;-1.007288
0.300000;-0.021000;46.011873;-2.896186
0.400000;-0.024000;38.824403;8.144145
0.500000;-0.025000;16.472808;15.343838
0.600000;-0.024000;7.186629;16.700972
0.700000;-0.021000;34.687180;15.874007
0.800000;-0.016000;42.771751;20.806277
0.900000;-0.009000;47.534343;26.801107
1.000000;-0.000000;-5.502595;32.990371
1.100000;0.011000;-7.700954;27.268582
1.200000;0.024000;-28.138509;21.650828
1.300000;0.039000;-31.579283;12.540344
1.400000;0.056000;10.748012;3.918325
1.500000;0.075000;29.995844;4.647622
1.600000;0.096000;34.389478;8.949339
1.700000;0.119000;-33.141244;13.515059
1.800000;0.144000;38.604585;5.510910
1.900000;0.171000;-16.697431;10.920378
2.000000;0.200000;-24.937779;6.431938
2.100000;0.231000;9.724987;1.201336
2.200000;0.264000;-4.530778;2.080840
2.300000;0.299000;21.690060;0.721159
2.400000;0.336000;22.093190;3.415437
2.500000;0.375000;-44.978999;5.883439
2.600000;0.416000;-39.765480;-1.206612
2.700000;0.459000;15.669346;-6.787533
2.800000;0.504000;26.016744;-4.479361
2.900000;0.551000;-29.057105;-1.062865
3.000000;0.600000;-13.418906;-4.790382
3.100000;0.651000;-29.292793;-6.233153
3.200000;0.704000;27.940961;-9.373637
3.300000;0.759000;-42.358657;-5.625462
3.400000;0.816000;-17.853079;-10.059197
3.500000;0.875000;-31.470687;-11.389362
3.600000;0.936000;-11.200349;-14.027252
3.700000;0.999000;12.953916;-14.293528
3.800000;1.064000;2.999246;-12.040044
3.900000;1.131000;9.309524;-10.936629
4.000000;1.200000;18.680723;-9.275663
4.100000;1.271000;-39.918039;-6.818016
4.200000;1.344000;11.565793;-10.045224
4.300000;1.419000;13.509635;-8.248328
4.400000;1.496000;35.882753;-6.381546
4.500000;1.575000;19.676376;-2.627314
4.600000;1.656000;-2.468915;-0.536084
4.700000;1.739000;14.912198;-0.482536
4.800000;1.824000;-36.109496;1.061963
4.900000;1.911000;-40.666400;-1.753991
5.000000;2.000000;-0.097188;-4.753659
5.100000;2.091000;-14.395112;-4.246492
5.200000;2.184000;-8.967599;-4.901986
5.300000;2.279000;-31.607453;-5.071001
5.400000;2.376000;38.226358;-6.988188
5.500000;2.475000;21.062472;-3.368836
5.600000;2.576000;-10.250159;-1.248723
5.700000;2.679000;-1.302623;-1.603004
5.800000;2.784000;13.825284;-1.254120
5.900000;2.891000;-37.327583;0.213171
6.000000;3.000000;7.873696;-2.147537
6.100000;3.111000;-23.300309;-1.080732
6.200000;3.224000;29.519409;-2.309443
6.300000;3.339000;-20.560008;0.323173
6.400000;3.456000;26.339454;-0.724637
6.500000;3.575000;5.755878;1.602449
6.600000;3.696000;37.558622;2.386714
6.700000;3.819000;34.788319;5.362733
6.800000;3.944000;-2.418035;8.021096
6.900000;4.071000;-42.518785;8.001192
7.000000;4.200000;-37.380847;5.233100
7.100000;4.331000;-24.687265;2.935338
7.200000;4.464000;26.595028;1.600292
7.300000;4.599000;26.706111;3.795373
7.400000;4.736000;-31.617342;5.915163
7.500000;4.875000;10.424802;4.039512
7.600000;5.016000;41.005721;5.052710
7.700000;5.159000;40.407121;8.068856
7.800000;5.304000;-40.441883;10.931278
7.900000;5.451000;-37.698809;8.325507
8.000000;5.600000;-4.702480;5.997204
8.100000;5.751000;35.639944;5.932039
8.200000;5.904000;-25.879257;8.525782
8.300000;6.059000;-31.747823;6.985269
8.400000;6.216000;33.083758;5.115354
8.500000;6.375000;55.090400;7.556574
