measurement X;measurement Y;prediction X;prediction Y;updated X;updated Y
311.000000;5.000000;311.000800;5.000800;311.000008;5.000008
312.000000;6.000000;311.002407;5.002407;311.536932;5.536932
313.000000;8.000000;311.616350;5.616350;312.246687;6.702248
311.000000;10.000000;312.497647;7.076030;311.820963;8.397172
311.000000;11.000000;311.871459;9.167058;311.480794;9.988745
312.000000;12.000000;311.424209;10.988821;311.673109;11.425928
312.000000;12.000000;311.679798;12.535914;311.810645;12.316918
313.000000;13.000000;311.847695;13.380369;312.288778;13.234770
312.000000;16.000000;312.414179;14.271185;312.265995;14.889715
312.000000;16.000000;312.366587;16.037960;312.243785;16.025244
312.000000;18.000000;312.325877;17.173007;312.223267;17.433405
312.000000;18.000000;312.291325;18.622443;312.204665;18.437285
312.000000;19.000000;312.261873;19.601322;312.187861;19.431374
312.000000;19.000000;312.236521;20.573708;312.172632;20.148621
312.000000;20.000000;312.214439;21.236314;312.158747;20.915229
312.000000;20.000000;312.194975;21.963130;312.146003;21.470056
312.000000;22.000000;312.177629;22.457115;312.134243;22.345463
312.000000;22.000000;312.162035;23.320138;312.123349;23.004951
311.000000;23.000000;312.147925;23.941987;311.878785;23.721132
311.000000;23.000000;311.871530;24.632334;311.670056;24.254983
311.000000;24.000000;311.639369;25.120903;311.493133;24.864530
311.000000;24.000000;311.445845;25.700141;311.344667;25.314316
311.000000;28.000000;311.286356;26.103391;311.221731;26.531416
310.000000;30.000000;311.156936;27.375635;310.896830;27.965653
311.000000;32.000000;310.801015;28.885466;310.845640;29.583941
311.000000;35.000000;310.757033;30.593141;310.811437;31.579903
311.000000;39.000000;310.731280;32.714940;310.791396;34.120982
310.000000;42.000000;310.720418;35.434878;310.559330;36.902859
310.000000;44.000000;310.469625;38.403593;310.364639;39.654678
308.000000;46.000000;310.263279;41.314977;309.757364;42.362228
307.000000;56.000000;309.593703;44.156400;309.013941;46.803764
308.000000;58.000000;308.778642;48.933964;308.604594;50.960466
308.000000;70.000000;308.348908;53.348270;308.270918;57.070362
308.000000;60.000000;308.006980;59.929945;308.005420;59.945603
307.000000;52.000000;307.742885;62.808763;307.576840;60.392859
307.000000;64.000000;307.294935;62.952505;307.229016;63.186622
307.000000;51.000000;306.940387;65.777432;306.953710;62.474845
308.000000;70.000000;306.668362;64.650246;306.965949;65.845777
307.000000;70.000000;306.719774;68.173722;306.782393;68.581821
307.000000;70.000000;306.545723;70.962888;306.647230;70.747735
307.000000;66.000000;306.424974;73.103240;306.553454;71.516139
307.000000;83.000000;306.349019;73.672891;306.494463;75.756779
307.000000;80.000000;306.309987;78.178193;306.464146;78.585210
308.000000;85.000000;306.300730;81.059605;306.680358;81.939915
307.000000;80.000000;306.566466;84.527035;306.663318;83.515691
